company_id,company_name,category,period,period_idx,revenue,cost_of_goods_sold,operating_expenses,net_income,cash,accounts_receivable,inventory,accounts_payable,short_term_debt,long_term_debt,capital_expenditure,operating_cash_flow,investing_cash_flow,financing_cash_flow
C001,Apex Tech Solutions,Growing,2019-Q1,1,82.8,39.51,20.13,17.15,42.03,24.59,9.22,7.95,6.56,11.16,4.07,17.65,-3.62,-2.47
C001,Apex Tech Solutions,Growing,2019-Q2,2,97.28,45.91,23.91,20.37,55.28,25.41,7.53,9.6,6.56,11.16,6.11,22.44,-4.93,-4.26
C001,Apex Tech Solutions,Growing,2019-Q3,3,105.98,49.24,26.39,22.54,70.72,23.0,7.71,13.54,6.56,11.16,8.52,28.5,-8.07,-4.99
C001,Apex Tech Solutions,Growing,2019-Q4,4,108.57,51.76,26.85,22.25,89.81,23.04,10.33,9.49,6.56,11.16,5.75,27.93,-4.75,-4.09
C001,Apex Tech Solutions,Growing,2020-Q1,5,134.15,62.68,33.88,27.97,105.6,37.23,15.29,16.89,6.56,11.16,11.55,32.62,-11.42,-5.41
C001,Apex Tech Solutions,Growing,2020-Q2,6,158.38,73.58,38.99,34.13,129.25,37.83,13.03,19.34,6.56,11.16,8.56,37.95,-7.75,-6.56
C001,Apex Tech Solutions,Growing,2020-Q3,7,163.68,78.16,41.02,33.15,151.64,33.95,14.53,14.98,6.56,11.16,11.65,40.25,-11.15,-6.72
C001,Apex Tech Solutions,Growing,2020-Q4,8,169.97,79.82,41.84,36.01,181.39,46.39,17.06,21.45,6.56,11.16,7.82,40.86,-6.75,-4.36
C001,Apex Tech Solutions,Growing,2021-Q1,9,203.04,96.05,50.38,42.23,206.45,49.29,14.65,18.33,6.56,11.16,14.58,45.46,-14.11,-6.3
C001,Apex Tech Solutions,Growing,2021-Q2,10,234.19,112.63,57.47,47.85,240.67,56.45,25.4,22.85,6.56,11.16,12.76,52.21,-12.52,-5.46
C001,Apex Tech Solutions,Growing,2021-Q3,11,241.5,115.98,60.59,48.47,269.43,52.81,27.75,27.13,6.56,11.16,20.48,57.59,-20.0,-8.83
C001,Apex Tech Solutions,Growing,2021-Q4,12,252.61,118.24,62.44,53.73,306.09,71.19,27.91,21.36,6.56,11.16,15.38,61.29,-15.04,-9.58
C001,Apex Tech Solutions,Growing,2022-Q1,13,293.36,137.83,72.78,61.84,354.69,79.3,25.69,38.2,6.56,11.16,15.43,73.34,-14.68,-10.07
C001,Apex Tech Solutions,Growing,2022-Q2,14,333.67,156.54,81.18,71.74,394.52,87.07,31.35,28.98,6.56,11.16,28.5,80.16,-28.14,-12.18
C001,Apex Tech Solutions,Growing,2022-Q3,15,342.56,160.43,85.5,72.25,441.96,94.6,27.88,40.56,6.56,11.16,24.53,81.72,-23.58,-10.69
C001,Apex Tech Solutions,Growing,2022-Q4,16,347.06,161.54,87.19,73.53,489.9,80.54,27.24,29.74,6.56,11.16,25.64,84.54,-25.62,-10.98
C001,Apex Tech Solutions,Growing,2023-Q1,17,405.21,189.25,101.22,85.84,558.44,96.71,46.11,36.67,6.56,11.16,18.51,97.03,-17.12,-11.37
C001,Apex Tech Solutions,Growing,2023-Q2,18,447.28,209.6,111.59,94.34,633.45,126.01,43.08,48.83,6.56,11.16,19.97,106.18,-18.63,-12.55
C001,Apex Tech Solutions,Growing,2023-Q3,19,436.66,205.38,109.22,91.32,707.56,126.5,49.03,52.99,6.56,11.16,19.3,105.28,-19.06,-12.1
C001,Apex Tech Solutions,Growing,2023-Q4,20,457.15,217.24,111.1,96.38,771.6,96.07,47.0,39.21,6.56,11.16,30.83,107.68,-29.79,-13.85
